Run	SubRun	Entry	EV	GTID	OWLHits	NHits	Clock50MHz	DeltaT(s)
300008	4	602942	0	14791948	0	3720	8217353233612	119.719
300008	9	545716	0	1160320	0	5337	8276959476798	1192.12
300008	10	340189	0	1580753	1	3398	8285187631637	164.563
300008	10	533533	0	1774100	0	3728	8288969479271	75.637
300008	13	92794	0	3212235	0	3035	8317053378149	561.678
300008	13	447812	0	3567258	1	4330	8323967686750	138.286
300008	14	113404	0	3858757	18	8422	8329665091331	113.948
300008	14	455047	0	4200406	0	3891	8336346381591	133.626
300009	1	278131	0	5124344	0	3028	8354403499221	361.142
300009	2	181017	0	5653299	0	3903	8364733855637	206.607
300009	3	80965	0	6179328	0	4270	8375006469142	205.452
300009	6	542145	0	8518379	1	4299	8420656772063	913.006
300009	10	315185	0	10793799	0	3107	8465091274552	888.69
300009	11	427239	0	11531531	0	5319	8479517552897	288.526
300009	12	502627	0	12232659	0	3230	8493197299642	273.595
300009	13	567646	0	12923625	0	3239	8506690713108	269.868
300009	14	362277	0	13344079	0	4150	8514895770008	164.101
300010	0	298662	0	13739980	0	3704	8522624493850	154.574
300010	3	480250	0	15799413	0	4039	8562876141331	805.033
300010	5	208759	0	68591	0	4742	8582097981857	384.437
300010	5	322421	0	182254	17	3669	8584314671735	44.3338
300010	8	284431	0	2021675	26	8321	8620266653822	719.04
300010	9	522068	0	2885363	0	5036	8637160142380	337.87
300010	11	587877	0	4202635	20	8104	8662948287660	515.763
300010	12	77202	0	4317394	0	3236	8665197269014	44.9796
300010	13	180411	0	5046302	0	3894	8679455371713	285.162
300010	14	325995	0	5817427	0	4349	8694518418091	301.261
300010	14	405745	0	5897178	0	3221	8696069373459	31.0191
300011	2	236773	0	7432762	0	3579	8725136973523	581.352
300011	2	509684	0	7705677	0	3381	8730463948471	106.539
300011	3	431951	0	8253425	0	3060	8741160999262	213.941
300011	4	310865	0	8758162	15	8328	8751000199733	196.784
300011	4	575981	0	9023282	19	5637	8756164320281	103.282
300011	5	180220	0	9252867	0	4858	8760662599268	89.9656
300011	9	453931	0	12029386	35	8526	18852219920	1085.65
300011	10	340501	0	12541559	0	5014	28867748063	200.311
300011	12	155153	0	13607793	25	4297	49705966114	416.764
300011	13	606244	0	14684854	0	4085	70740287143	420.686
300012	1	4606	0	15832480	37	3886	93137762215	447.95
300012	1	370102	0	16197982	0	4399	100284062355	142.926
300012	1	621764	0	16449648	0	3474	105207245223	98.4637
300012	2	107111	0	16561269	0	3089	107384285680	43.5408
300012	3	250615	0	619272	1	3045	122434592090	301.006
300012	4	432455	0	1427377	0	3680	138233232052	315.973
300012	5	396747	0	2018066	0	4619	149770639403	230.748
300012	6	79205	0	2326706	0	3053	155780653405	120.2
300012	7	365554	0	3238899	24	8454	173610983669	356.607
300012	11	90192	0	5467050	21	4089	217164710371	871.075
300012	11	478450	0	5855314	0	5366	224737423683	151.454
300012	14	432716	0	7687703	0	4767	260628409317	717.82
