Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
301772	11	396911	0	7028501	2.11888	1974.08	0	581	981109114893	396913	0	7028503	2.26098	1575.63	0	614	981109122564	0.15342	989.952
301801	2	281968	0	4020735	1.35916	2575.73	0	1237	5479900480513	281975	0	4020742	2.11048	1438.8	0	1302	5479900480674	0.00322	1723.86
301801	2	281976	0	4020743	2.25095	2798.78	0	1309	5479900480697	281977	0	4020744	1.88631	3080.13	0	985	5479900480720	0.00046	2296.7
301801	8	410698	0	7953135	4.58728	949.308	0	1581	5558123333468	410699	0	7953136	2.29889	1856.89	0	1075	5558123333491	0.00046	2107.57
301892	11	627767	0	7616837	0.948677	2747.84	0	273	2441347012201	627769	0	7616839	2.2092	2499.79	0	599	2441347029581	0.3476	774.535
301947	7	117179	0	7872258	1.92446	5455.13	0	551	2033793691250	117181	0	7872260	2.11918	5196.63	0	619	2033793691931	0.01362	371.263
301971	11	436132	0	6053716	1.31204	3635.6	0	562	6308953729909	436136	0	6053720	1.86617	5596.73	0	483	6308953746861	0.33904	2024.49
301971	11	436136	0	6053720	1.86617	5596.73	0	483	6308953746861	436138	0	6053722	2.03569	5639.79	0	512	6308953748147	0.02572	999.913
301985	6	526832	0	12674733	3.14496	1746.92	0	1695	8767391933331	526840	0	12674741	1.9588	1427.13	1	1505	8767391933515	0.00368	1865.53
301985	6	526833	0	12674734	1.23268	2400.49	0	997	8767391933354	526840	0	12674741	1.9588	1427.13	1	1505	8767391933515	0.00322	2188.84
301985	6	526841	0	12674742	2.12633	3462.86	0	1684	8767391933538	526842	0	12674743	2.1458	2789.09	0	1472	8767391933561	0.00046	895.468
301988	7	314562	0	6868416	1.76526	1038.25	0	1152	520772883788	314563	0	6868417	2.05019	1199.71	0	1245	520772883811	0.00046	1200.61
301988	11	354746	0	9445857	2.40069	4002.04	1	668	572140841147	354749	0	9445860	2.11479	4658.63	0	607	572140841633	0.00972	854.502
301994	7	24898	0	10756052	2.37648	5585.24	0	613	1595321097271	24900	0	10756054	2.19287	5240.02	0	647	1595321101586	0.0863	483.829
302005	3	256960	0	6336779	5.53212	2535.58	0	1442	3481693441272	256963	0	6336782	2.24143	2634.95	0	620	3481693442196	0.01848	434.081
302047	8	208088	0	5263307	1.57738	2040.91	0	1256	2310205990823	208089	0	5263308	2.21424	1306.26	0	1435	2310205990846	0.00046	2417.34
302895	7	336427	0	4803480	2.99144	5323.01	0	883	2698967659595	336431	0	4803484	2.21687	4737.02	0	679	2698967688591	0.57992	960.055
303081	4	38152	0	12376925	6.27393	367.801	1	2152	5112228437965	38161	0	12376934	2.12535	1283.84	0	1153	5112228438171	0.00412	1574.77
303081	4	38161	0	12376934	2.12535	1283.84	0	1153	5112228438171	38162	0	12376935	2.05554	946.625	1	1109	5112228438194	0.00046	2093.97
303081	4	38162	0	12376935	2.05554	946.625	1	1109	5112228438194	38163	0	12376936	1.9099	1543.47	0	870	5112228438217	0.00046	1788.24
303116	9	267415	0	10182724	4.89831	1862.82	0	1717	2687931964675	267416	0	10182725	2.43841	1602.32	0	1192	2687931964698	0.00046	1235.59
303139	6	418865	0	9445087	1.45565	2354.76	0	815	6761358294685	418866	0	9445088	1.87136	1792.22	0	886	6761358294708	0.00046	1390.93
303233	5	502448	0	7219262	3.08376	2375.49	0	2674	5397948990909	502456	0	7219270	1.89053	433.564	0	2049	5397948991093	0.00368	2138.47
303233	5	502456	0	7219270	1.89053	433.564	0	2049	5397948991093	502457	0	7219271	2.05915	1429.41	0	1933	5397948991116	0.00046	1261.77
303471	7	161034	0	1333077	2.21625	4021.07	0	627	5632735076464	161038	0	1333081	1.94829	3951.97	0	547	5632735097924	0.4292	234.371
303738	12	603064	0	13173840	4.62611	4439.99	0	1258	2760603253465	603066	0	13173842	2.1477	4041.37	0	612	2760603262520	0.1811	1025.49
303767	8	463721	0	14585202	1.06431	3469.4	0	291	7489548728841	463724	0	14585205	2.2694	2676.83	0	604	7489548733369	0.09056	835.017
303878	4	506641	0	3877792	1.7775	5220.86	0	573	565687393826	506644	0	3877795	1.93268	5380.09	0	600	565687407408	0.27164	639.965
304017	7	571415	0	16625259	3.04386	1177.86	0	1679	6135289338264	571423	0	16625267	1.90663	793.002	0	1116	6135289338447	0.00366	891.515
304017	7	571416	0	16625260	1.35868	2119.21	0	1099	6135289338287	571423	0	16625267	1.90663	793.002	0	1116	6135289338447	0.0032	2100.19
304028	3	543778	0	10887895	1.51596	4880.76	0	465	8061781272195	543781	0	10887898	2.06062	5350.04	0	659	8061781274500	0.0461	634.175
304039	11	475100	0	12707480	2.93442	2809.2	0	787	1350926576423	475103	0	12707483	1.99987	2932.46	0	544	1350926583588	0.1433	149.261
304104	1	191940	0	4136018	2.0799	3282.91	0	708	3160017525220	191943	0	4136021	2.05826	3928.19	0	703	3160017525382	0.00324	1022.19
304104	1	191947	0	4136025	1.72595	2133.61	0	534	3160017530903	191949	0	4136027	1.94811	1902.57	0	575	3160017533184	0.04562	404.489
304104	1	191949	0	4136027	1.94811	1902.57	0	575	3160017533184	191951	0	4136029	2.09316	1409.72	0	587	3160017533581	0.00794	1206.58
304104	1	191954	0	4136032	1.84908	2140.22	0	558	3160017539493	191956	0	4136034	1.86109	2641.68	0	541	3160017562137	0.45288	1266.85
