Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300740	12	28215	0	5941940	1.0473	5842.03	0	277	6376025316732	28233	0	5941958	1.92318	5800.63	0	526	6376025798540	9.63616	3099.21
300740	13	482766	0	7026385	1.54654	2462.88	0	1081	6397281463061	482767	0	7026386	1.91614	3381.26	1	1156	6397281463084	0.00046	5603.9
300741	2	143310	0	8976644	1.0129	5916.23	0	267	6435660700759	143312	0	8976646	1.98167	5693.38	0	488	6435660800242	1.98966	8803.53
300741	2	355240	0	9188578	0.959867	5942.79	0	240	6439832615240	355260	0	9188598	1.89413	5920.33	0	480	6439832887578	5.44676	5485.23
300741	4	456886	0	10546307	4.00571	5858.34	0	761	6466507164264	456891	0	10546312	2.10262	5846.07	0	427	6466507212043	0.95558	100.972
300741	5	620557	0	11338025	1.38405	5871.05	0	353	6482041498520	620561	0	11338029	2.05689	5796.42	0	525	6482041537067	0.77094	11458
300741	6	441155	0	11786506	0.929639	5872.4	0	254	6490852841959	441177	0	11786528	2.38454	5824.61	1	569	6490853202907	7.21896	7836.09
300741	9	184352	0	13413259	0.948665	5905.07	0	261	6522929437228	184370	0	13413277	2.2053	5846.09	0	478	6522929702586	5.30716	8871.76
300741	10	86333	0	13943088	0.934932	5881.66	0	254	6533365604400	86346	0	13943101	2.45323	5837.78	0	511	6533365787507	3.66214	10172
300741	11	160661	0	14645205	6.47127	5830.67	0	1226	6547134151905	160666	0	14645210	1.92873	5866.41	0	382	6547134185536	0.67262	76.8789
300741	12	454784	0	15566743	0.93722	5973.95	0	238	6565244743023	454804	0	15566763	1.99127	5989.35	0	515	6565245096550	7.07054	10788.9
300741	14	317895	0	16684847	1.10315	5880.66	0	304	6587290633530	317921	0	16684873	2.12769	5405.37	0	654	6587291066634	8.66208	9752.59
300742	2	584451	0	1857984	0.969999	5958.96	0	248	6624359482836	584476	0	1858009	2.02915	5633.26	0	396	6624359814041	6.6241	11521.7
300742	4	209670	0	2738749	0.959311	5968.88	0	184	6641719785950	209706	0	2738785	2.47043	5858.62	0	484	6641720220123	8.68346	11277.1
300742	4	478316	0	3007399	1.12353	5697.62	0	304	6646998647815	478341	0	3007424	2.33312	5631.96	0	624	6646999008444	7.21258	5103.94
300742	11	582905	0	7515552	0.91221	5758.45	0	244	6734689849800	582934	0	7515581	2.39224	5994.86	0	539	6734690323071	9.46542	7402.09
300742	12	599976	0	8160576	6.3057	5950.9	0	1054	6747406743934	599978	0	8160578	1.91885	5876.04	0	372	6747406744317	0.00766	139.891
300742	12	613357	0	8173957	1.07168	5712.78	0	285	6747662526374	613382	0	8173982	2.09012	5717.92	0	565	6747662975278	8.97808	5998.43
300743	0	569552	0	9788187	3.36084	2154.27	0	1325	6779424850652	569553	0	9788188	1.94375	462.05	0	875	6779424850675	0.00046	2275.94
300743	3	512051	0	11613732	1.14144	5779.46	0	279	6814364925300	512059	0	11613740	2.29019	5659.93	0	599	6814364980869	1.11138	2843.22
300743	4	216013	0	11999860	0.933435	5917.21	0	250	6821499023511	216041	0	11999888	2.43624	5816.93	0	619	6821499346611	6.462	8986.96
300743	5	99894	0	12511487	1.15599	5970.75	0	309	6831554474098	99918	0	12511511	1.85454	5971.57	0	462	6831554944845	9.41494	1721.25
300743	7	108389	0	13775116	0.97611	5857.5	0	272	6856413837715	108399	0	13775126	1.92972	4124.78	0	553	6856414081427	4.87424	9721.66
300743	12	398357	0	493272	7.87928	5536.06	0	2405	6923916436245	398359	0	493274	2.19626	2356.68	0	1031	6923916436291	0.00092	6188.44
300743	12	398358	0	493273	4.35782	2145.85	0	1623	6923916436268	398359	0	493274	2.19626	2356.68	0	1031	6923916436291	0.00046	4091.14
300743	12	565849	0	660767	1.25605	5775.15	0	313	6927227664692	565862	0	660780	1.963	5996.73	0	369	6927227953117	5.7685	6666.65
300743	13	394408	0	1117498	3.89612	5587.22	1	1496	6936218663557	394409	0	1117499	2.43278	2501.36	1	927	6936218663580	0.00046	8086.58
300744	2	317787	0	3304708	0.907683	5845.86	0	156	6979338027000	317797	0	3304718	1.90107	5776.44	0	481	6979338305134	5.56268	2215.79
300744	6	485005	0	5986586	0.938435	5981.84	0	209	7032245687666	485017	0	5986598	2.11583	5920.52	0	570	7032245909101	4.4287	9093.34
300744	11	19826	0	8662917	1.09188	5924.41	0	213	7084961096153	19843	0	8662934	1.85206	5534.35	0	533	7084961259023	3.2574	8857.35
300744	11	389335	0	9032430	3.92304	5886.7	0	744	7092199048721	389338	0	9032433	2.43202	5998.23	0	441	7092199049292	0.01142	127.899
300744	11	625249	0	9268348	0.967964	5963.63	0	178	7096838317418	625254	0	9268353	2.09707	5981.52	0	511	7096838381643	1.2845	9051.55
300744	12	371014	0	9642550	1.08963	5961.51	0	283	7104193449493	371018	0	9642554	2.4641	5452.32	0	721	7104193468017	0.37048	10368.7
300744	12	436237	0	9707774	1.50487	1294.73	0	1235	7105480309693	436238	0	9707775	2.35002	1034.26	0	1448	7105480309716	0.00046	2115.46
300744	12	436238	0	9707775	2.35002	1034.26	0	1448	7105480309716	436239	0	9707776	2.29899	1983.31	0	1407	7105480309739	0.00046	2636.83
300744	13	83977	0	9983717	0.906769	5940.19	0	239	7110891898787	83990	0	9983730	1.89983	5818	0	506	7110892094900	3.92226	7495.53
300744	13	119034	0	10018774	1.06444	5804.6	1	280	7111572519472	119046	0	10018786	2.02524	5986.28	0	531	7111572648737	2.5853	9862.65
300744	13	158571	0	10058312	0.93181	5908.46	0	255	7112353629775	158577	0	10058318	2.07192	5824.94	0	525	7112353821781	3.84012	7346.85
300767	0	58642	0	179045	0.926032	5865.84	0	231	8538350048264	58668	0	179071	2.14719	5642	0	591	8538350356261	6.15994	7662.85
300767	0	345047	0	465455	1.02936	5906.62	0	289	8543989983740	345074	0	465482	2.03267	5872.07	0	500	8543990381496	7.95512	11291.5
300767	0	385422	0	505830	1.18756	5994.6	0	317	8544782533368	385425	0	505833	2.2174	5568.47	0	583	8544782552757	0.38778	6238.76
300767	2	388010	0	1764977	2.55215	2531.16	0	1495	8569541840714	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.0041	2075.86
300767	2	388011	0	1764978	1.43416	1402.72	0	998	8569541840737	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00364	1721.71
300767	2	388012	0	1764979	1.10386	1685.23	0	780	8569541840760	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00318	2437.85
300767	2	388016	0	1764983	1.08694	1285.85	0	782	8569541840850	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00138	1642.42
300767	2	388017	0	1764984	1.19961	4679.9	0	900	8569541840873	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00092	3823.94
300767	2	388018	0	1764985	1.49402	3265.21	0	944	8569541840896	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00046	3206.91
300767	3	266936	0	2272321	0.95404	5650.45	0	197	8579518399987	266940	0	2272325	2.17462	5342.7	0	650	8579518477116	1.54258	6748.72
300767	11	582165	0	7616144	1.61647	2638.71	1	1162	8684626406884	582166	0	7616145	1.93228	2568.02	0	1267	8684626406907	0.00046	2809.62
300768	4	229275	0	12022095	0.935869	5867.37	0	229	8771294026978	229299	0	12022119	2.47834	5797.82	0	602	8771294505177	9.56398	889.855
300770	2	186923	0	12375944	0.954236	5757.09	0	240	309731118264	186927	0	12375948	2.07493	5950.08	0	516	309731279929	3.2333	7225.67
300770	4	429643	0	13875239	1.03183	5912.31	0	252	339275293073	429661	0	13875257	2.16946	5834.8	0	525	339275561362	5.36578	10098.9
300770	8	372548	0	16329648	1.20968	5764.47	0	214	387575462737	372576	0	16329676	2.06322	5845.51	0	406	387575956494	9.87514	1237.94
300772	1	332830	0	959925	5.37112	3407.01	0	2108	629266992108	332831	0	959926	2.20838	3785.65	0	1486	629266992131	0.00046	6983.69
300772	4	457206	0	2967787	1.026	5776.9	0	270	668698162211	457234	0	2967815	1.94034	5798.04	0	497	668698465330	6.06238	8385.25
300772	5	443228	0	3581513	2.22596	5860.61	0	458	680782430191	443256	0	3581541	1.92189	5928.43	0	438	680782804525	7.48668	11435.2
300772	8	234957	0	5256557	1.15984	5461.64	0	378	713719999197	234969	0	5256569	2.2201	5761.27	0	550	713720072105	1.45816	10965.6
300772	9	621346	0	6271005	5.43128	2115.49	0	2008	733699440625	621347	0	6271006	2.33654	4031.88	0	1448	733699440648	0.00046	2947.05
300772	9	621355	0	6271014	1.50538	3979.55	1	1032	733699440832	621356	0	6271015	2.03441	1281.61	0	1045	733699440855	0.00046	3330.53
300772	13	347055	0	8508087	1.10655	5908.6	0	291	777688965088	347057	0	8508089	2.16448	5843.44	0	532	777688971822	0.13468	10982.3
300772	13	590103	0	8751139	4.89593	5925.37	0	965	782470284729	590113	0	8751149	1.86519	5942.77	0	377	782470481221	3.92984	38.486
300773	0	133972	0	9290569	0.96653	5950.41	0	250	793088272246	133997	0	9290594	2.41343	3821.32	0	684	793088668603	7.92714	7811.44
300773	0	252003	0	9408602	1.08419	5757.35	0	289	795396499597	252012	0	9408611	2.16203	5826.94	0	542	795396692983	3.86772	8419.25
300773	0	316258	0	9472858	0.968452	5883.95	0	252	796672657324	316288	0	9472888	2.13704	5645.26	1	516	796673127792	9.40936	8514.11
300773	5	212514	0	12506318	1.00823	5885.96	0	281	856355085566	212546	0	12506350	2.24674	5844.22	0	581	856355561358	9.51584	9345.3
300775	1	468217	0	1095804	0.967486	5974.88	0	252	1105651558072	468236	0	1095823	2.18842	5663.34	1	549	1105651805263	4.94382	9606.02
300775	2	255358	0	1511914	0.955155	5816.68	0	254	1113851794719	255384	0	1511940	1.91899	5841.45	0	391	1113852232486	8.75534	5869.83
300775	2	255365	0	1511921	0.986355	5972.35	0	249	1113851852486	255384	0	1511940	1.91899	5841.45	0	391	1113852232486	7.6	5909.32
300775	2	288136	0	1544692	0.984801	5892.8	0	250	1114500830911	288148	0	1544704	1.93366	5747.73	0	539	1114500980859	2.99896	9749.46
300775	5	422113	0	3633605	4.97133	5871.45	0	889	1153961038354	422119	0	3633611	2.24978	5901.36	0	414	1153961139737	2.02766	127.893
300775	8	507459	0	5602615	0.9731	5934	0	252	1192718593213	507486	0	5602642	1.93078	5628.79	0	532	1192719004416	8.22406	4376.85
300775	10	239757	0	6590612	1.12726	5897.83	0	293	1212130264834	239783	0	6590638	2.36033	5993.76	0	565	1212130600356	6.71044	9999.97
300775	12	556982	0	8163558	0.974822	5818.51	0	259	1243030830383	556998	0	8163574	2.13094	5941.78	0	533	1243030968015	2.75264	11509.4
300775	14	12292	0	8875277	0.919498	5859.7	0	226	1257040967484	12319	0	8875304	1.95255	5759.54	0	476	1257041393429	8.5189	1465.88
300775	14	357709	0	9220699	1.58881	4491.67	0	1198	1263825431794	357710	0	9220700	2.0362	3509.48	0	1218	1263825431817	0.00046	3456.51
300776	0	195580	0	9434691	0.902854	4991.96	0	276	1268040471623	195595	0	9434706	2.27391	5753.91	0	587	1268040806363	6.6948	6851.32
300776	3	252164	0	11375594	0.901466	5867.47	0	262	1306194531877	252192	0	11375622	2.01974	5562.24	0	548	1306195000761	9.37768	2119.02
300776	4	102105	0	11853879	0.921391	5946.96	0	194	1315586865687	102109	0	11853883	1.97238	5797.66	0	516	1315587053844	3.76314	8846.56
300776	5	111693	0	12491766	1.01772	5946.04	0	261	1328189050543	111696	0	12491769	2.15506	5813.18	1	536	1328189070947	0.40808	9004.27
300776	9	126012	0	15019810	2.65995	1568.61	0	1498	1377900136359	126020	0	15019818	1.9388	5984.68	0	1057	1377900136543	0.00368	6292.92
300776	9	126013	0	15019811	1.22783	4834.22	0	1043	1377900136382	126020	0	15019818	1.9388	5984.68	0	1057	1377900136543	0.00322	10768.6
300776	9	126014	0	15019812	1.17893	925.009	0	827	1377900136405	126020	0	15019818	1.9388	5984.68	0	1057	1377900136543	0.00276	5846.73
300776	9	126017	0	15019815	0.968107	2625.62	0	733	1377900136474	126020	0	15019818	1.9388	5984.68	0	1057	1377900136543	0.00138	7214.68
300776	9	126018	0	15019816	1.24614	1995.56	0	867	1377900136497	126020	0	15019818	1.9388	5984.68	0	1057	1377900136543	0.00092	5500.58
300776	9	126019	0	15019817	1.3066	2458.88	0	940	1377900136520	126020	0	15019818	1.9388	5984.68	0	1057	1377900136543	0.00046	8017.04
300776	10	446854	0	15969305	0.986502	5862.91	0	250	1396588362046	446872	0	15969323	2.13711	5866.5	0	588	1396588693575	6.63058	5150.29
300776	11	396574	0	16547544	0.963273	5876.35	0	262	1407940175446	396577	0	16547547	1.99112	5949.48	0	380	1407940253226	1.5556	11722.3
300776	12	439465	0	506859	1.07063	5901.69	0	263	1421114301549	439478	0	506872	2.13243	5505.86	0	576	1421114484979	3.6686	8405.33
300776	13	309779	0	1005177	0.982559	3928.02	0	277	1430903569042	309791	0	1005189	1.90223	5743.97	0	416	1430903832678	5.27272	8922.77
300777	1	583891	0	2894746	1.03817	5995.06	0	267	1468076667729	583902	0	2894757	1.9463	5281.91	0	580	1468076878881	4.22304	5091.87
300777	10	12316	0	7982940	1.53755	1359.91	2	1400	1567217919452	12317	0	7982941	1.89381	2853.39	0	1519	1567217919475	0.00046	3964.39
300777	10	12317	0	7982941	1.89381	2853.39	0	1519	1567217919475	12318	0	7982942	1.9289	3782.2	1	1499	1567217919498	0.00046	3768.93
300777	11	386181	0	8984760	1.94513	2722.03	0	532	1586922756173	386202	0	8984781	2.02771	5959.09	0	517	1586923231034	9.49722	5533
300777	14	48367	0	10531830	0.948693	5965.26	0	248	1617375379623	48372	0	10531835	2.1544	5893.27	0	564	1617375623345	4.87444	4633.55
300778	0	593476	0	11476596	1.03718	5910.55	0	264	1636000556663	593479	0	11476599	2.21737	5758.18	0	539	1636000614255	1.15184	8000.97
300778	2	252098	0	12391010	0.913995	5918.38	0	257	1653962870759	252108	0	12391020	2.39313	5918.2	0	579	1653963145911	5.50304	8469.09
300778	2	252102	0	12391014	0.977638	5914.97	0	249	1653962978169	252108	0	12391020	2.39313	5918.2	0	579	1653963145911	3.35484	2683.41
300778	4	465239	0	13860861	0.969079	5989.6	0	260	1682852738264	465258	0	13860880	1.94773	5655.25	0	494	1682853094477	7.12426	11578.3
300778	7	152313	0	15433324	1.00673	5966.8	0	281	1713818726387	152327	0	15433338	2.24746	5479.49	0	640	1713819052732	6.5269	9163.08
300779	2	226353	0	4804386	1.96719	5824.93	0	454	1833522436293	226380	0	4804413	2.18638	4959.92	0	633	1833522873248	8.7391	2805.65
300779	3	423404	0	5629843	0.92679	5883.22	0	237	1849778879308	423409	0	5629848	2.31426	5989.11	0	499	1849779004727	2.50838	4705.21
300779	6	357716	0	7448717	4.49975	2878.19	0	1699	1885517585936	357717	0	7448718	2.22668	3263.89	0	1172	1885517585959	0.00046	4222.76
300779	7	92753	0	7812359	1.95574	5933.2	0	501	1892682580767	92757	0	7812363	2.29095	5791.47	0	626	1892682600455	0.39376	253.306
300779	12	424535	0	11292083	0.934773	5852.82	0	221	1960235186213	424552	0	11292100	2.229	5515.46	0	596	1960235561743	7.5106	5888.95
300780	2	259345	0	14052073	1.03142	5796.71	0	256	2014104743087	259347	0	14052075	1.99744	5056.94	0	605	2014104748774	0.11374	5696.12
300781	2	622567	0	6864211	0.999501	5916.94	0	266	2201425632367	622587	0	6864231	2.10444	5831.17	0	432	2201426007316	7.49898	11332.1
300781	4	96911	0	7594450	0.900135	5636.76	0	259	2215813413608	96931	0	7594470	1.8766	5920.53	0	464	2215813708753	5.9029	8466.79
300781	7	199441	0	9582942	0.980485	5972.2	0	240	2254931789985	199447	0	9582948	2.0445	5957.7	0	398	2254931894778	2.09586	11444.7
300781	9	264990	0	11035536	1.33431	5774.81	0	353	2280609155645	265012	0	11035558	1.86693	5300.27	0	587	2280609568392	8.25494	2398.44
300781	9	264999	0	11035545	0.91006	5798.23	0	233	2280609309833	265012	0	11035558	1.86693	5300.27	0	587	2280609568392	5.17118	7639.07
300781	13	128906	0	13421446	0.920538	5945.6	0	229	2327355212752	128914	0	13421454	2.29708	5838.98	0	548	2327355347717	2.6993	4529.36
300781	13	215152	0	13507694	1.00913	5833.66	0	268	2329057823829	215180	0	13507722	1.98341	5574.8	0	507	2329058226335	8.05012	7750.32
300781	13	611802	0	13904350	7.81825	4470.79	0	2768	2336835663596	611804	0	13904352	2.10427	5200.08	0	1168	2336835663642	0.00092	9334.95
300781	13	611803	0	13904351	4.32066	3070.89	0	1739	2336835663619	611804	0	13904352	2.10427	5200.08	0	1168	2336835663642	0.00046	5162.38
