Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300856	11	329226	0	14548516	1.48529	942.764	0	984	3990057889752	329228	0	14548518	2.07511	1255.99	1	1074	3990057889798	0.00092	1096.3
300858	6	143831	0	12835376	1.51603	1343.39	0	1213	4285523354530	143832	0	12835377	2.10213	1710.37	1	1368	4285523354553	0.00046	512.464
300858	10	120031	0	15325811	1.80823	1302.48	0	1139	4334678144915	120032	0	15325812	2.04173	1129.54	0	1160	4334678144938	0.00046	1023.71
300859	1	245373	0	2265525	2.25142	1171.28	1	1885	4405670236806	245374	0	2265526	1.99457	1390.06	0	1455	4405670236829	0.00046	1797.33
300862	13	118455	0	3717132	1.72683	2679.66	0	1280	5091887017506	118456	0	3717133	1.87903	4992.71	0	1345	5091887017529	0.00046	2415.8
300866	8	427621	0	4082221	4.64454	4117.19	2	1850	5755556390434	427622	0	4082222	2.39168	3467.48	0	1293	5755556390457	0.00046	1529.86
300866	10	500853	0	5411826	1.29116	682.369	0	2068	5781745495505	500855	0	5411828	2.14563	2294.9	0	2154	5781745495551	0.00092	1757.92
300868	12	34100	0	7806595	3.8033	982.976	0	1406	6158154180246	34101	0	7806596	1.94976	2261.29	0	989	6158154180269	0.00046	2210.12
300869	1	66780	0	10118912	2.05183	1426.28	0	1472	6202709511498	66781	0	10118913	2.45785	1028.19	0	1496	6202709511521	0.00046	2275.77
300869	1	66781	0	10118913	2.45785	1028.19	0	1496	6202709511521	66782	0	10118914	1.96825	521.721	0	1110	6202709511544	0.00046	1282.1
300877	8	445387	0	4669883	0.935399	1092.72	0	754	7737223118615	445390	0	4669886	1.95691	1755.19	1	1132	7737223118684	0.00138	1461.81
300880	5	21806	0	13121865	0.904963	2944.36	1	851	8231963106409	21809	0	13121868	1.95802	3458.65	0	1382	8231963106478	0.00138	2129.08
300884	12	198051	0	4231600	1.84575	2728.34	0	1229	246338599289	198053	0	4231602	2.05094	1389.94	0	990	246338599335	0.00092	2230.33
300899	3	210515	0	2094268	2.55685	936.182	0	1650	2834737287891	210516	0	2094269	1.99061	2343.22	0	1354	2834737287914	0.00046	1965.2
300900	13	152362	0	751699	1.5017	2274.59	0	1163	3137477849895	152363	0	751700	2.01251	1664.18	0	1271	3137477849918	0.00046	2464.37
300900	13	152363	0	751700	2.01251	1664.18	0	1271	3137477849918	152364	0	751701	2.09755	571.776	0	1201	3137477849941	0.00046	2102.47
300901	7	513606	0	6482527	2.00534	983.111	0	1139	3249257393170	513607	0	6482528	2.16025	2525.32	0	1174	3249257393193	0.00046	2092.51
300901	10	227012	0	8076817	3.16335	4773.09	0	962	3280639013768	227014	0	8076819	2.04214	4523.57	0	634	3280639016735	0.05934	716.006
300902	3	457365	0	13122293	1.69957	1319.31	0	1269	3379738768813	457366	0	13122294	2.22225	1111.18	0	1383	3379738768836	0.00046	1486.01
300902	3	457366	0	13122294	2.22225	1111.18	0	1383	3379738768836	457367	0	13122295	2.24684	1226.8	1	1340	3379738768859	0.00046	778.04
300902	3	457367	0	13122295	2.24684	1226.8	1	1340	3379738768859	457368	0	13122296	2.00274	1476.25	0	1067	3379738768882	0.00046	1165.95
300902	14	357505	0	3223976	1.76426	1740.27	0	1330	3513685688357	357506	0	3223977	1.92666	1466.3	0	1357	3513685688380	0.00046	1946.93
300903	10	36764	0	9545175	1.71058	1445.22	0	1008	3638157044807	36765	0	9545176	2.06256	1237.15	1	1004	3638157044830	0.00046	1641.91
300906	1	361364	0	14990257	1.58732	615.148	0	1208	4073366054967	361372	0	14990265	2.16914	1474.99	0	1182	4073366055150	0.00366	1761.49
300906	1	361365	0	14990258	1.00437	1617.85	0	894	4073366054990	361372	0	14990265	2.16914	1474.99	0	1182	4073366055150	0.0032	1955.19
300908	12	115526	0	6577937	1.81386	977.015	0	1111	4564533841144	115527	0	6577938	2.11783	1544.37	2	1079	4564533841167	0.00046	2495.61
300910	2	597197	0	2412038	3.06085	1826.35	0	1826	4810626091654	597205	0	2412046	1.93154	2891.33	0	1326	4810626091837	0.00366	1843.33
300910	2	597203	0	2412044	1.05706	3145.29	0	997	4810626091791	597205	0	2412046	1.93154	2891.33	0	1326	4810626091837	0.00092	387.091
300913	8	58545	0	16415924	1.77728	1143.31	0	1460	5414508257008	58547	0	16415926	1.97888	1629.18	0	1177	5414508257054	0.00092	2035.72
300914	9	392146	0	9851296	4.66882	2587.67	0	1709	5613349694289	392147	0	9851297	2.31858	2507.29	0	1190	5613349694312	0.00046	2252.84
300916	3	344178	0	2229104	1.62227	2673.28	0	1039	5865359395593	344179	0	2229105	2.18253	828.66	1	1115	5865359395616	0.00046	2483.04
300917	13	249597	0	898666	1.50052	1025.08	0	1262	6167313682603	249604	0	898673	2.15221	1580.03	1	1330	6167313682764	0.00322	2061.42
300917	13	249598	0	898667	1.03518	994.948	0	1014	6167313682626	249604	0	898673	2.15221	1580.03	1	1330	6167313682764	0.00276	1994.15
300929	0	82847	0	3623671	1.8125	1690.63	0	1307	8163864643835	82848	0	3623672	2.10747	2077.84	0	1302	8163864643858	0.00046	2226.52
300932	0	316540	0	15081831	1.728	1576.54	0	1389	8708682334474	316541	0	15081832	1.90613	620.746	0	1421	8708682334497	0.00046	1311.39
300933	11	310725	0	14408150	4.35239	1536.35	0	1626	228545716689	310726	0	14408151	2.17676	1875.26	0	1115	228545716712	0.00046	2008.99
300943	1	115641	0	742790	1.57201	2065.08	0	1588	1164509147530	115642	0	742791	2.01791	1653.28	0	1760	1164509147553	0.00046	561.256
300943	11	233704	0	7148402	3.10282	2277.17	0	1741	1289751171892	233712	0	7148410	2.14717	1494.48	0	1237	1289751172075	0.00366	2274.48
300944	3	191708	0	11265444	1.17789	2400.49	1	895	1370818191399	191711	0	11265447	2.19217	2145.45	0	1179	1370818191468	0.00138	2365.79
300945	3	231745	0	3737394	1.98515	1567.72	2	1278	1551692609369	231747	0	3737396	1.9216	853.485	0	960	1551692609415	0.00092	2010.14
300947	9	163159	0	9073561	0.968434	2204.64	0	771	1984678765251	163165	0	9073567	1.89296	2589.92	0	1129	1984678765389	0.00276	2486.39
300947	9	163164	0	9073566	1.34792	1343.42	0	914	1984678765366	163165	0	9073567	1.89296	2589.92	0	1129	1984678765389	0.00046	1569.66
300954	8	38234	0	5595097	1.67695	1820.91	0	1237	3230181709512	38235	0	5595098	2.23117	1297.32	0	1353	3230181709535	0.00046	2031.31
300991	14	271472	0	13283754	1.17052	4538.69	0	346	487507014341	271476	0	13283758	2.149	4815.46	0	645	487507030880	0.33078	624.245
